"player","war","all_stars"
"aasedo01",15.1,1
"abadfe01",3.2,0
"abbotgl01",5.3,0
"abbotji01",19.7,0
"abbotpa01",4.5,0
"abernte02",16.6,0
"accarje01",1.9,0
"aceveju01",3.1,0
"ackerji01",5.5,0
"adamsba01",50.2,0
"adamsmi03",10.1,0
"adamste01",4.5,0
"affelje01",9.7,0
"agostju01",1.3,0
"aguilri01",20.6,3
"aguirha01",21,2
"akerja01",8.7,0
"alberma01",2.7,0
"aldresc01",-2.3,0
"alexado01",34.8,1
"alexape01",116.2,0
"alfonan01",3.7,0
"allenjo02",27.9,1
"allenne01",7,0
"altroni01",8.7,0
"alvarjo02",4.5,0
"alvarwi01",25,1
"amesre01",28.9,0
"anderbr02",10.9,0
"anderbr04",11.2,0
"anderla02",13.9,0
"andreiv01",19.1,0
"andujjo01",16.7,4
"antonjo02",31.2,6
"appieke01",54.9,1
"applepe01",8,0
"aquinlu01",10.5,0
"archech01",13.6,2
"armasto02",8.3,0
"armstsh01",1,0
"arrieja01",21.2,1
"arrigge01",2,0
"arroybr01",24.7,1
"ashbyan01",21.5,2
"assenpa01",13.1,0
"astacpe01",28.3,0
"augusje01",4.2,0
"aukerel01",15.8,0
"averyst01",12.5,1
"avilalu01",4.4,0
"axforjo01",4,0
"ayalalu01",7.9,0
"aybarma01",-1.4,0
"ayersdo01",14.7,0
"baezda01",5.8,1
"bagbyji02",8.9,2
"bahnsst01",23.9,0
"bailebi01",-2.3,0
"baileho02",6.1,0
"bairdo01",7,0
"bakersc02",15.8,0
"baldwja01",9.5,1
"balfogr01",9.2,1
"bankhsc01",11.3,0
"bankswi01",0.8,0
"bannifl01",26.4,1
"barbest01",18.1,2
"barkele01",13.3,1
"barneja01",-0.6,0
"barneje01",21.4,0
"barnevi01",9.7,0
"barrere01",12.7,1
"barrji01",30.8,0
"bassan01",3.9,0
"bastaan01",2.8,0
"batismi01",14.5,0
"bauertr01",21.4,1
"baumafr01",3.4,0
"bautide01",-1,0
"bautijo01",0.2,0
"beckbo01",4.5,0
"beckejo02",35.3,3
"beckro01",11.3,3
"bedarer01",17.4,0
"bedroca01",1.7,0
"bedrost01",15.4,1
"beggsjo01",9.9,0
"beimejo01",6.7,0
"belchti01",26.7,0
"belinst01",5.3,0
"belisma01",7.8,0
"bellga01",14.4,4
"bellhe01",7.2,3
"bendech01",42.8,0
"benesan01",31.2,1
"bengera01",14.9,0
"benitar01",17.4,2
"benoijo01",18,0
"bensokr01",13.1,0
"bentlja01",4.2,0
"bentoal01",24.8,2
"bentola01",19.8,0
"bentoru01",18,0
"bereja01",2.9,1
"berenju01",10.1,0
"bernhbi01",17.7,0
"betande01",11.2,4
"betanra01",14.1,0
"bettshu01",13.1,0
"bibbyji01",18.6,1
"bielemi01",7.6,0
"billija01",9.9,1
"birddo01",9.1,0
"blackbu02",21.1,0
"blackew01",27.1,6
"blaehge01",25.1,0
"blairwi01",3.7,0
"blakesh01",11.7,0
"blantjo01",12.6,0
"blasiwa01",-3.3,0
"blassst01",7,1
"blevije01",6.3,0
"bluevi01",44.9,6
"blylebe01",96.1,2
"boddimi01",31.3,1
"boehrbr01",4.1,0
"boevejo01",5.5,0
"bohanbr01",7.9,0
"bolinbo01",16.8,0
"bondeje01",5.2,0
"bondto01",61,0
"bonesri01",6.9,1
"bonhabi01",18,0
"bonhati01",24.2,2
"borbope01",4.9,0
"borbope02",0.8,0
"borlato02",0.6,0
"borowha01",15.6,2
"borowjo01",3.6,0
"bosioch01",24.4,0
"boskish01",0.4,0
"bosmadi01",11.4,0
"bottari01",6.2,1
"botteke01",7,1
"boutoji01",9.5,1
"bowmajo01",4.1,0
"boxbebr01",4.5,1
"boydoi01",17.8,0
"boyerbl01",-1.5,0
"brachbr01",5.5,1
"bradfch01",10.1,0
"brancra01",16.5,3
"branded01",27.5,0
"brantje01",11.6,1
"braxtga01",10.8,0
"brazlal01",21.4,0
"brechha01",41.3,2
"breitte01",51.8,0
"breslcr01",6.3,0
"brettke01",12.6,1
"breweji01",15.7,1
"bridgto01",51.6,6
"brilene01",20.4,0
"brittza01",13.6,2
"brocado01",10.4,0
"brosnji01",14.2,0
"broweji01",2.7,0
"brownbu01",12.3,0
"browncl01",20,0
"brownha01",16.8,0
"brownju01",5.1,0
"brownke01",68.2,6
"brownll01",19.6,0
"brownma01",12.1,1
"brownmo01",57.2,0
"brownto05",19.5,1
"broxtjo01",8.6,2
"brunege01",9.7,0
"brusswa01",3.9,0
"buchhcl01",17,2
"buehrma01",60,5
"buffich01",60.7,0
"buhlbo01",28,2
"bumgama01",33.3,4
"bunniji01",60.4,9
"burbada01",16.2,0
"burdele01",25.5,3
"burgmto01",17.5,1
"burkebo01",7.2,0
"burkejo03",21.8,2
"burketi01",12.4,1
"burneaj01",NA,NA
"burnese01",5.9,0
"burrira01",15.1,0
"bushgu01",22,0
"bushjo01",31.5,0
"butchma01",17.8,0
"buzhajo01",11.8,0
"byerlbu01",5.5,0
"byrdati01",0.6,0
"byrdpa01",15.9,1
"byrneto01",6.3,1
"cadargr01",6.7,0
"cadorle01",18.9,0
"cahiltr01",12.2,1
"cainma01",29.3,3
"caldwmi01",19,0
"caldwra02",30.9,0
"camacer01",2.5,0
"camniho01",19.5,0
"campbbi02",12.4,1
"campsh01",2,0
"candejo01",39.9,1
"candito01",42.3,0
"cantwbe01",13.7,0
"capuach01",9.8,1
"cardwdo01",16.9,0
"carlsha01",25.2,0
"carltst01",84.1,10
"carmado01",7.6,0
"carmofa01",5.4,1
"carpech01",35.2,3
"carraca01",21.9,0
"carragi01",1.8,0
"carrahe01",9.5,0
"carrocl02",18.3,2
"carroow01",3.7,0
"carseki01",8.5,0
"caseyhu01",12.5,0
"cashnan01",10.1,0
"casiala01",1.5,0
"castege01",9.4,0
"castifr01",9.4,0
"castito02",6.4,0
"castrbi01",6.1,0
"castrmi01",2.9,0
"cecilbr01",6.8,1
"cedenxa01",1.9,0
"chacijh01",18.2,0
"chacosh01",6.8,1
"chafian01",7,0
"chakabo01",-0.4,0
"chambel01",30.4,0
"chambjo03",7.6,0
"chancde01",34.9,2
"chandsp01",22.9,4
"chapmar01",19,7
"charlno01",8.5,1
"chatwty01",9.5,0
"chaveje01",5,0
"chenbr01",10.8,0
"chenela01",16.5,0
"chesbja01",42.5,0
"chipmbo01",8.6,0
"choatra01",4.5,0
"chrisja01",3.9,0
"chrisla01",9,0
"cicoted01",57.9,0
"cishest01",13.3,0
"clancji01",20.7,1
"clarkjo01",85,0
"clarkma01",7.8,0
"clarkwa02",26.7,0
"clearma01",7.8,2
"clemepa01",3.5,0
"clemero02",138.7,11
"clevere01",8.4,0
"clippty01",15.9,2
"clonito01",2.1,0
"coaklan01",11.2,0
"coateji01",-0.2,2
"cobbal01",17,0
"coffmdi01",8,0
"cokeph01",2.1,0
"colboji01",16.4,1
"colege01",33.1,5
"colemjo04",5.9,1
"colemjo05",24.7,1
"colliri01",18.9,0
"colluja01",3.3,0
"colomal01",6,1
"colomje01",0.3,0
"colonba01",48.1,4
"coneda01",61.6,5
"conlege01",15.6,4
"connasa01",6.9,0
"consusa01",12.2,1
"contrjo01",13.5,1
"cookaa01",15.7,1
"cookde01",9.6,0
"coombja01",23.1,0
"coopemo01",31.9,4
"coopewi01",48.9,0
"corbipa01",14.1,2
"cordefr01",16.9,3
"cormirh01",8.6,0
"correke01",4.2,1
"corsiji01",8,0
"cottsne01",5.2,0
"covelst01",66.6,0
"coxda01",10.6,0
"craigro01",16.6,0
"crainje01",11.4,1
"cranddo01",13,0
"craneed01",-0.4,0
"crawfst01",2.9,0
"creekdo01",-1.2,0
"crowdal01",29,1
"cruzju02",5.3,0
"cuellmi01",29.2,4
"cuetojo01",38.7,2
"culpra01",17.2,2
"culvege01",5.3,0
"cunnibe01",11.1,0
"cuppyni01",39.2,0
"curtijo01",7.1,0
"daalom01",7.4,0
"dacqujo01",NA,NA
"dailyed01",7.6,0
"dalcabr01",8.1,0
"daleybu01",5.9,4
"danfoda01",9.4,0
"danksjo01",20.4,0
"darenvi01",-0.3,0
"darliro01",18.8,1
"darviyu01",30.6,5
"darwida01",40.3,0
"daussho01",36.8,0
"daviscu01",37.9,2
"davisdi01",14.6,0
"davisdo02",21.5,0
"davisma01",7.4,2
"davisro02",4.9,1
"davisst02",17.3,0
"daviswa01",10.2,3
"dayleke01",3,0
"deandi01",43.9,4
"dejeami01",6.8,0
"delarjo01",NA,NA
"deleojo01",17.5,0
"delocik01",9.3,0
"delosva01",1,0
"delucri01",2.7,0
"dempsry01",22.3,2
"dennyjo01",31.1,0
"derripa01",39,6
"deshaji01",13.7,0
"desseel01",11.3,0
"detwiro01",1.6,0
"dickera01",NA,NA
"dicksmu01",43,1
"diekmja01",3.8,0
"dierkla01",34.3,2
"dietrbi01",7.5,0
"dinnebi01",40.2,0
"dipinfr01",2,0
"ditmaar01",5.9,0
"doakbi01",29.2,0
"dobsojo01",27.7,1
"dobsopa01",18.1,1
"dohened01",-2.3,0
"donahre01",30.1,0
"donohpe01",16.5,0
"donovbi01",44.7,0
"donovdi01",20.8,5
"doolise01",10,2
"dorisha01",8.7,0
"doteloc01",15.8,0
"dotsori01",16,1
"douglph01",14.4,0
"downial01",22.5,1
"downssc01",11.2,0
"drabedo01",27.6,1
"drabomo01",19.9,0
"dragodi01",20.5,0
"drakeol01",1.1,0
"drewska01",1.3,0
"drysddo01",61.3,9
"duensbr01",6.3,0
"duffyda01",20.3,0
"dugglbi01",14.4,0
"dukeza01",10.7,1
"dunnmi01",2.6,0
"durbich01",-0.6,0
"durenry01",5.7,4
"dwyerfr01",42.1,0
"dysonsa01",5.9,0
"earnsge01",20.8,0
"easteja01",1.7,0
"eastwra01",4.9,0
"eatonad01",2.2,0
"eckerde01",62.3,6
"edwarca01",3.7,0
"ehmkeho01",39.8,0
"ehretre01",23.9,0
"eichhma01",19.2,0
"eilanda01",-2.4,0
"eischjo01",3.2,0
"elartsc01",2.9,0
"eldreca01",16.2,0
"ellioju01",9.9,0
"ellisdo01",15,1
"ellswdi01",23.3,1
"elstodo01",10,2
"embreal01",2.4,0
"eovalna01",16.3,1
"erickpa01",6.7,0
"ericksc01",24.8,0
"erskica01",16.4,1
"escobke01",24.6,0
"esperdu01",18,0
"estessh01",9.3,1
"estrama01",11.8,1
"evelada01",-1.5,0
"ewingbo01",29.6,0
"eyresc01",7.3,0
"faberre01",67.7,0
"facero01",21,6
"falcope01",10.3,0
"falkecy01",22.5,0
"familje01",6.4,1
"farmeed01",0,1
"farnsky01",6.2,0
"farretu01",27.8,5
"farrst01",18.1,0
"fasseje01",25.2,0
"feldmsc01",8.2,0
"felizmi01",-1.6,0
"felizne01",7.3,1
"fellebo01",65.2,8
"fergual01",6.5,0
"fernaal01",27.7,0
"fernasi01",31.4,2
"ferrewe01",48.8,2
"ferrito01",12.1,0
"fettemi01",7.7,0
"fienca01",1.5,0
"fiersmi01",13.2,0
"figuene01",2.3,0
"fingero01",25,7
"finlech01",58.3,5
"fischbi01",3.8,0
"fischca01",6.4,0
"fisheed02",10.7,1
"fisheja01",5.3,0
"fishera01",21.4,0
"fistedo01",19.5,0
"fitzmal01",15.8,0
"fitzsfr01",33.6,0
"flahepa02",5.1,0
"flanami01",25.5,1
"florera01",-0.5,0
"floribr01",2.5,0
"floydga01",16.4,0
"fontwi01",-0.1,0
"fordwh01",53.6,10
"foremfr01",15.6,0
"fornimi01",8,1
"forscbo01",18.9,0
"forscke01",27,2
"forstte01",18.6,0
"fossato01",2.5,0
"fosteal01",6.1,0
"foulkke01",20.8,1
"foutzda01",22.7,0
"fowledi01",7.9,0
"foxch02",2.9,0
"foytapa01",10.6,0
"francfr01",5.1,0
"francje01",10.2,0
"francjo01",23.6,4
"frankfr02",16.6,1
"frankry01",11.6,1
"frasech01",17.2,0
"frasoja01",9.5,0
"frazige01",3.1,0
"freemma02",6.5,0
"frencla01",45,1
"freyst01",2.4,0
"frienbo01",46.8,4
"frierer01",2,0
"friseda01",4.9,0
"frommar01",13,0
"frymawo01",18.2,2
"fuentbr01",10.5,4
"gagneer01",11.7,3
"galehde01",26.7,0
"gallayo01",19.2,1
"gallibe01",7.9,0
"galvipu01",83.3,0
"garbege01",16.5,0
"garceri01",4.8,0
"garcifr02",NA,NA
"garcija01",9.1,0
"garcija02",10.2,0
"garcilu03",2.5,0
"garcimi01",30.7,3
"gardnma01",6.2,0
"gardnro01",-1.2,0
"garlajo01",22.4,1
"garmami01",2.5,0
"garresc01",9.8,1
"garvene01",38.7,1
"garzama01",14.3,0
"gastomi01",16.2,0
"gaudich01",2.9,0
"gausmke01",19.7,1
"gearrco01",4,0
"genewjo01",8.7,0
"germaju01",-2,0
"getzich01",18.9,0
"gibbojo01",9.3,0
"gibsobo01",81.7,9
"gibsoky01",13.8,1
"giustda01",16.1,1
"givenmy01",8.8,0
"gladdfr01",7.9,0
"glavito02",73.9,10
"gleatje01",2.2,0
"glovega01",1.4,0
"glynned01",1.1,0
"goltzda01",23.5,0
"gomezje01",0,0
"gomezle01",43.2,7
"gomezru01",13.9,0
"gonzaed01",-1.3,0
"gonzagi01",29.7,2
"gonzami02",7.7,0
"goodedw01",48.2,4
"gordoto01",35,3
"gorzeto01",6.6,0
"gossari01",41.6,9
"gottji01",9.8,0
"grabojo02",1.9,0
"grangwa01",0.7,0
"grantma01",2.3,0
"grantmu01",19.3,2
"graveda01",5.9,2
"graydo02",NA,NA
"grayso01",25.1,2
"grayte01",7.6,1
"greensh02",3.5,1
"gregelu01",6.5,0
"greggke01",4.7,0
"greinza01",71.5,6
"griffcl01",59.9,0
"griffto02",4,0
"grillja01",4.5,1
"grimbo01",6.2,1
"grimebu01",46.7,0
"grimmju01",-2.5,0
"grimsja01",5.4,0
"grimsro02",6.4,1
"grissle01",7.1,1
"grissma01",13.7,1
"gromest01",22.6,1
"groombo01",15.4,0
"groombu01",6.8,0
"grosske01",25.8,1
"grovele01",113.3,6
"groveor01",2.5,1
"guantce01",6.5,0
"guarded01",13.3,2
"gubicma01",37.4,2
"guerrja01",2.6,0
"guerrma02",8,0
"guettle01",3.4,0
"guidrro01",47.9,4
"gullibi01",23.6,0
"gumbead01",15.4,0
"gumbeha01",17.5,0
"gumpera01",7.3,1
"gundeer01",0.8,0
"gurala01",21.5,1
"guthrje01",18.7,0
"guthrma01",9.3,0
"guzmaju01",24.5,1
"haasmo01",17.4,0
"habyajo01",6.2,0
"hackewa02",14.3,0
"haddiha01",29.9,3
"hadlebu01",35.3,0
"haefnmi01",15.7,0
"haineje01",35.7,0
"halamjo01",5.7,0
"haleda02",2.2,0
"hallabi01",15.9,1
"hallaro01",65.4,8
"halldi01",16.9,0
"hallto01",6.1,0
"hamelco01",58,4
"hamilda01",3.7,0
"hamilea01",25.1,0
"hamilja01",-3.7,0
"hamiljo02",15.3,0
"hamilst01",11.3,0
"hammaat01",9.5,1
"hammeja01",13.6,0
"hammoch01",9.1,0
"hamptmi01",20.7,2
"handbr01",8.3,3
"handsbi01",30,0
"haneych01",3.2,0
"hannaji01",2.2,0
"hansoer01",22.3,1
"happja01",21.5,1
"haranaa01",23.8,0
"hardeme01",48.5,4
"harderi01",17.9,0
"harenda01",32.9,3
"hargast01",11.7,1
"harnipe01",19,1
"harpeha01",14,0
"harrige01",-0.9,0
"harrigr01",19.2,0
"harrimi01",6.8,1
"harrisl01",18.5,0
"harriwi02",NA,NA
"harshja01",11.3,0
"harvema01",10.1,1
"hasslan01",7.3,0
"havenbr01",1.2,0
"hawkian01",2.9,0
"hawkila01",18,0
"hawlepi01",38.6,0
"hayneji01",2.8,0
"haynejo01",9,1
"healyjo01",8.9,0
"heanean01",6.6,0
"hearnji01",17.1,1
"heatone01",8.2,1
"heimafr01",5.6,0
"heintke01",16.8,0
"hellije01",11.1,0
"helliri01",21,0
"hembrhe01",0.6,0
"hemmige01",15.1,0
"hendrcl01",25.4,0
"hendrli01",9.2,3
"hendrma01",4.1,0
"henketo01",23,2
"hennemi01",12.9,1
"henrybi01",14.7,2
"henrydo01",2.5,0
"henrydw01",-0.1,0
"hentgpa01",33,3
"herbera01",16.3,1
"herbero01",3.6,0
"heredfe01",0.5,0
"heredgi01",9.7,0
"hergema01",6.1,0
"hermadu01",12.7,0
"hernada01",4.7,0
"hernafe02",49.9,6
"hernali01",24.8,2
"hernaor01",23.1,0
"hernara01",6.2,0
"hernaro01",18.5,2
"hernawi01",16.6,3
"hernaxa01",2.7,0
"herreke01",10.1,2
"herriar01",3.5,0
"hershor01",51.4,3
"heskejo01",9,0
"hessot01",8,0
"hevinjo02",9.6,0
"higbeki01",19.5,2
"hildeor01",21.3,1
"hillca01",11.4,0
"hillejo01",31,1
"hillke01",22.6,1
"hillri01",17.5,0
"hitchst01",9.5,0
"hoeftbi01",17.1,1
"hoernjo01",10.2,1
"hoffmtr01",28.1,7
"hogsech01",5.3,0
"hollaal01",12.1,1
"hollade01",9.1,0
"hollagr01",12.4,3
"hollial01",11.2,0
"holloke01",5.7,0
"holmeda01",7.4,0
"holtzke01",27,2
"honeyri01",21.3,2
"hooddo01",5.4,0
"hootobu01",36.4,1
"horlejo01",25.5,1
"houghch01",39,1
"houttar01",11.2,1
"howelha01",33,0
"howelja01",15.1,3
"howeljp01",7.9,0
"howest01",10.4,1
"howrybo01",10.7,0
"hoytwa01",54.1,0
"hraboal01",10,0
"hubbeca01",68.8,9
"hudliwi01",30.6,0
"hudsoda01",6.2,0
"hudsosi01",12.4,2
"hudsoti01",56.6,4
"huffda01",-1.7,0
"hugheja02",8.5,0
"hugheph01",11.3,1
"hugheto01",13.2,0
"huismma01",0.8,0
"humeto01",6.5,1
"humphbo01",5,0
"hunteca01",36.3,8
"hunteto02",11.4,0
"hurstbr01",34.5,1
"hutchfr01",20.7,1
"isrinja01",12.3,2
"jacksal01",5.6,0
"jacksda02",18,2
"jacksed01",8.2,1
"jacksgr01",14.1,1
"jacksla01",52.6,5
"jacksmi02",18.8,0
"jacksro03",5.5,0
"jacobel01",6.4,0
"jamesbi01",6,0
"jamesbo01",2.2,0
"janseke01",19.5,3
"jarvike01",-4.6,0
"jayjo01",15.7,2
"jeffcmi01",2.7,0
"jeffeje01",0.7,0
"jeffrje01",8.8,1
"jenkife01",82.2,3
"jepseke01",1.7,0
"jimenub01",21,1
"johnsha01",3.8,0
"johnsja02",4.7,0
"johnsje01",-2.3,0
"johnsji04",8.3,1
"johnsjo07",1.8,0
"johnske02",20.2,0
"johnsra05",103.5,10
"johnssi01",12.1,0
"johnssy01",29.4,0
"johnswa01",152.3,0
"johnto01",62.1,4
"jonesba01",1.8,0
"jonesbo03",8.1,1
"jonesdo01",21.4,5
"jonesgo01",1.9,0
"jonesna01",5.7,0
"jonesra01",18.8,2
"jonessa01",39.7,0
"jonessa02",19.8,2
"jonesto02",10.3,1
"judenje01",0.2,0
"juliojo01",1.5,0
"kaatji01",45.2,3
"kamiesc01",9,0
"karsast01",11.1,0
"kaufmto01",6.9,0
"kazmisc01",22.8,3
"keefeti01",89.1,0
"kekicmi01",-4.4,0
"kellesh01",4.2,0
"kellnal01",12.5,1
"kellyjo05",5.7,0
"kemmeru01",5.3,0
"kendrky01",4.4,0
"kennebr01",32.2,0
"kenneia01",16.3,0
"kennejo04",7.4,0
"kenneve01",10.3,2
"kensilo01",-0.9,0
"keougma02",5.8,1
"kernji01",14.3,3
"kershcl01",73.1,9
"keuchda01",19.1,2
"keyji01",49,5
"kileda01",20.6,3
"killefr01",30.5,0
"kilroma01",23.2,0
"kimbrcr01",21.8,8
"kimby01",11.1,1
"kindeel01",30.9,0
"kingra01",5.4,0
"kingsi01",50.1,0
"kintzbr01",6.9,1
"kisonbr01",14.3,0
"kitsofr01",21.9,0
"klinero01",20.2,0
"klinest02",9.9,0
"klippjo01",13.7,0
"klubeco01",34.7,3
"kneppbo01",20.9,2
"knottja01",12,0
"knowlda01",12.2,1
"kolpra01",15,0
"konstji01",11.8,1
"kontoge01",4,0
"kooncca01",8.7,0
"koosmje01",57,2
"kosloda01",17.8,0
"koufasa01",53.1,7
"kralija01",18.3,1
"krameja01",11,3
"krausle02",2,0
"kremera01",26.6,0
"kretllo01",-0.3,0
"kruegbi01",2.8,0
"krukomi01",21.4,1
"kuzavbo01",5.3,0
"labincl01",14.3,2
"lackejo01",38.1,1
"lacorfr01",-3.6,0
"lacosmi01",1.2,1
"laffeaa01",2.3,0
"lagrole01",4.4,0
"lamabja01",0.5,0
"lampde01",16,0
"langfri01",10.8,0
"langsma01",50,4
"laniema01",30.4,2
"lannijo01",9.2,0
"lapoida01",8.4,0
"larocda01",14.4,2
"larsedo01",12.5,0
"laryfr01",29.3,3
"latmaba01",3.8,1
"latosma01",12.3,0
"lavelga01",19.7,2
"lawsoro01",4.1,0
