"player","war","all_stars"
"aaronha01",143,25
"aasedo01",-0.1,1
"abadfe01",-0.1,0
"abbated01",8.7,0
"abbotgl01",0,0
"abbotji01",-0.1,0
"abbotku01",0.5,0
"abbotpa01",0.2,0
"abernte02",-0.7,0
"abramca01",8.5,0
"abreubo01",60.2,2
"accarje01",-0.1,0
"aceveju01",-0.4,0
"ackerji01",0.1,0
"adairje01",8.4,0
"adamsba01",2.5,0
"adamsbo03",15.7,0
"adamsma01",4.9,0
"adamsmi03",0,0
"adamssp01",17.5,0
"adamste01",-0.4,0
"adcocjo01",33.5,2
"adriaeh01",1,0
"affelje01",0,0
"ageeto01",25.4,2
"agostju01",-0.1,0
"aguaylu01",2.7,0
"aguilje01",4.1,1
"aguilri01",1.2,3
"aguirha01",-3.2,2
"ainsmed01",6.4,0
"akerja01",-0.7,0
"alberma01",-0.3,0
"aldremi01",8.8,0
"aldresc01",0,0
"alexado01",0.3,1
"alexama02",-2.3,0
"alexape01",3.1,0
"alfonan01",0,0
"alfoned01",28.7,1
"alicelu01",11.9,0
"allenbe01",9.3,0
"allendi01",58.7,7
"allenet01",7.6,0
"allenjo02",-1.4,1
"allenne01",0,0
"alleyge01",24.2,2
"allisbo01",34.2,3
"allisdo01",6.9,0
"almadme01",1.1,0
"almonab01",1.1,0
"almonbi01",4.7,0
"alomaro01",67,12
"alomasa01",10.5,1
"alomasa02",13.7,6
"alonsyo01",8.1,1
"aloufe01",42.2,3
"alouje01",0.8,0
"alouma01",23,2
"aloumo01",39.9,6
"altroni01",0.5,0
"altuvjo01",46.5,8
"alvarjo02",0.1,0
"alvarlu01",-3.2,0
"alvarwi01",-0.2,1
"amalfjo01",1.8,0
"amarari01",5.1,0
"amaroru01",2.3,0
"amesre01",-4.3,0
"amezaal01",3.2,0
"anderbr01",35,3
"anderbr02",-0.9,0
"anderbr04",-0.2,0
"anderda02",5.7,0
"anderga01",25.7,3
"anderjo01",28.8,0
"anderla02",0,0
"anderma02",7.3,0
"andinro01",1.9,0
"andreiv01",-0.9,0
"andruel01",33.5,2
"andujjo01",-0.6,4
"ankieri01",5.5,0
"ansonca01",94.4,0
"anthoer01",-0.2,0
"antonjo02",0.7,6
"aparilu01",55.9,13
"appieke01",-0.4,1
"applepe01",0.5,0
"applilu01",77.6,7
"aquinlu01",-0.2,0
"archech01",-0.2,2
"archeji01",10.3,0
"arenano01",52.2,7
"ariasal01",1.9,0
"armasto01",15.8,2
"armasto02",-1.5,0
"armstsh01",0,0
"arrieja01",1.7,1
"arrigge01",0.2,0
"arroybr01",-1.2,1
"ashburi01",64.2,6
"ashbyal01",11.1,0
"ashbyan01",-0.6,2
"asprobo01",1.2,0
"asproke01",2,0
"assenpa01",0,0
"astacpe01",-2.7,0
"astrojo01",0.9,0
"auerbri01",1,0
"augusje01",NA,NA
"aukerel01",-0.1,0
"aurilri01",18.2,1
"ausmubr01",16.5,1
"austiji01",22.8,0
"averiea01",51.5,6
"averyst01",1.3,1
"avilaal01",17,1
"avilabo01",28.4,3
"avilalu01",0,0
"avilemi01",5.7,0
"axforjo01",0,0
"ayalabe01",1,0
"ayalalu01",0.2,0
"aybarer01",22.7,1
"aybarma01",0.3,0
"ayersdo01",-1.1,0
"azcuejo01",8.6,1
"backmwa01",13.1,0
"baergca01",19.6,3
"baezda01",0,1
"baezja01",25.9,2
"bagbyji02",1.4,2
"bagweje01",79.9,4
"bahnsst01",-1.2,0
"bailebi01",0.2,0
"bailebo01",28.7,0
"baileed01",27.2,6
"baileho02",0.1,0
"bailobo01",8.9,0
"baineha01",38.8,6
"bairddo01",6.5,0
"bairdo01",-0.3,0
"bakerdu01",37,2
"bakerfl01",7.8,0
"bakerfr01",62.8,0
"bakerje03",1.1,0
"bakersc02",-0.1,0
"bakopa01",-1.3,0
"balbost01",0.8,0
"baldwja01",-0.2,1
"balfogr01",0,1
"bancrda01",49.7,0
"bandoch01",1.7,0
"bandosa01",61.5,4
"bankhsc01",0,0
"bankser01",67.7,14
"bankswi01",0.2,0
"bannial01",3.6,0
"bannifl01",-0.1,1
"barajro01",4.6,0
"barbest01",-0.7,2
"bardjo01",3.3,0
"barfije01",39.4,1
"barkele01",-0.6,1
"barmecl01",14.9,0
"barneda01",8.8,0
"barneja01",0.1,0
"barneje01",0.6,0
"barnevi01",-4,0
"barrebi02",6,0
"barreji01",19.3,0
"barrema02",9.2,0
"barremi01",2.7,0
"barrere01",-2.7,1
"barrji01",-0.1,0
"barryja01",25.9,0
"barrysh01",3.6,0
"bartedi01",41.7,2
"bartlja01",18.4,1
"bartobo01",1.7,0
"bassan01",0,0
"bassech01",10.4,0
"basske01",14.7,1
"bastaan01",0,0
"bastich01",2.1,0
"batemjo01",0.9,0
"batesjo02",20.8,0
"batismi01",-1.9,0
"batisto01",13.8,2
"batteea01",18.8,5
"battijo01",6.4,0
"battsma01",1.9,0
"bauerha01",27.2,3
"bauertr01",-0.4,1
"baumafr01",1.7,0
"baumhfr01",8.1,0
"bautida01",-0.5,0
"bautide01",0,0
"bautijo01",-0.4,0
"bautijo02",36.7,6
"bayja01",24.8,3
"baylodo01",28.5,1
"beaucji01",-1.4,0
"beaumgi01",30.5,0
"beckbo01",-0.3,0
"beckebe01",8,0
"beckegl01",15.6,4
"beckejo02",0.4,3
"beckeri01",8.3,0
"beckhgo01",5.5,0
"becklja01",61.5,0
"beckro01",0,3
"bedarer01",0.1,0
"bedroca01",0,0
"bedrost01",-1,1
"beggsjo01",-0.3,0
"beimejo01",0.3,0
"belanma01",41,1
"belchti01",-0.8,0
"belinst01",0,0
"belisma01",-0.5,0
"bellbu01",66.3,5
"bellda01",15.2,0
"bellde01",13.2,0
"belleal01",40.1,5
"bellga01",1.8,4
"bellge02",20,3
"bellgu01",15.7,4
"bellhe01",-0.1,3
"bellhma01",8,0
"bellira01",-0.1,0
"belliro01",20.7,1
"bellja01",37.1,2
"beltbr01",27.6,1
"beltrad01",93.5,4
"beltrca01",70.1,9
"benchjo01",75.1,14
"bendech01",5.2,0
"benedbr01",7.3,2
"benesan01",0.2,1
"bengera01",-1.6,0
"bengobe01",0.3,0
"beniqju01",9.9,0
"benitar01",-0.1,2
"benjami01",6.7,0
"bennech01",38.8,0
"bennega01",-3.1,0
"benoijo01",-0.1,0
"bensokr01",-0.3,0
"bentlja01",1.7,0
"bentoal01",-6,2
"bentola01",-2.5,0
"bentoru01",-2.1,0
"benzito01",-2.7,0
"berarjo01",-2.2,0
"bereja01",0.4,1
"berenju01",-0.2,0
"bergebi01",-6.9,0
"bergewa01",42.5,4
"bergmda01",6.7,0
"bergmo01",-4.6,0
"berkmla01",51.9,6
"bernato01",13.2,0
"bernhbi01",-1.6,0
"berrada01",5.4,0
"berrayo01",59.4,18
"berrera01",-3.5,0
"berroan01",1,0
"berroge01",7.4,0
"berrych02",5.9,0
"berryda01",0.2,0
"berryke01",15.2,1
"berryse01",4.8,0
"bertore01",-1.2,0
"beschbo01",21.2,0
"betande01",0,4
"betanra01",0,0
"betanyu01",-2.4,0
"betemwi01",2.8,0
"bettshu01",0.1,0
"bevacku01",-3.9,0
"bibbyji01",0.8,1
"bicheda01",5.7,4
"bielemi01",-1.6,0
"bierblo01",13.9,0
"bigbeca01",11.7,0
"biggicr01",65.5,7
"biittla01",-1,0
"bilkost01",4.9,0
"billija01",-2.6,1
"billijo01",-1.7,0
"birddo01",-0.2,0
"bishoma01",38.1,0
"blackbu02",-0.2,0
"blackch02",19.3,4
"blackew01",-0.5,6
"blackti01",1.1,0
"bladera01",15.4,0
"blaehge01",-3.2,0
"blairpa01",37.7,2
"blairwi01",-1.1,0
"blakeca01",24.8,0
"blakesh01",-1,0
"blancan01",1.6,0
"blancgr01",7.4,0
"blanche01",-0.1,0
"blancjo01",1.5,0
"blantjo01",-0.8,0
"blasido01",18.3,1
"blasiwa01",1.7,0
"blassst01",0.5,1
"blausje01",20.9,2
"blefacu01",11.1,0
"blevije01",0,0
"bloodji01",1,0
"bloomwi01",1.7,0
"blowemi01",4.3,0
"bluegos01",28.5,1
"bluelu01",37.5,0
"bluevi01",0.2,6
"blumge01",3.3,0
"blylebe01",-1.6,2
"bocachi01",0.1,0
"boccajo01",-0.3,0
"bochtbr01",19.5,1
"boddimi01",0,1
"boehrbr01",-0.2,0
"boevejo01",-0.1,0
"bogaexa01",34.9,4
"boggswa01",91.4,12
"bohanbr01",1.1,0
"bolinbo01",2.2,0
"bollifr01",16.9,4
"bondeje01",-0.3,0
"bondsba01",162.8,14
"bondsbo01",57.8,3
"bondto01",-0.1,0
"bonesri01",0,1
"bonhabi01",0.2,0
"bonhati01",-0.9,2
"bonifem01",3.2,0
"bonilbo01",30.2,6
"bonneba01",1.7,0
"booneaa01",13.6,1
"boonebo01",27.4,4
"boonebr01",22.8,3
"boonera01",25.8,2
"borbope01",0.3,0
"borbope02",-0.1,0
"bordafr01",2.1,0
"bordepa01",3.6,0
"bordimi01",26.8,1
"borlato02",-0.1,0
"borowha01",0.3,2
"borowjo01",0,0
"bosioch01",0,0
"boskish01",0.8,0
"bosleth01",2.3,0
"bosmadi01",-0.5,0
"bostoda01",4.3,0
"bosweke01",5.4,0
"bottari01",-0.1,1
"botteke01",-0.3,1
"bottoji01",35.8,0
"boudrlo01",63.3,8
"bourjpe01",9.6,0
"bournmi01",22.8,2
"boutoji01",-1.9,1
"bowala01",22.8,5
"bowerfr01",9.6,0
"bowmajo01",3.3,0
"boxbebr01",-0.1,1
"boydbo01",7.7,3
"boydoi01",-0.6,0
"boyerbl01",-0.2,0
"boyercl02",27.6,0
"boyerke01",62.8,11
"boyleja01",-0.4,0
"brachbr01",0,1
"bradfbu01",0.7,0
"bradfch01",0,0
"bradlbi01",36.6,0
"bradlge01",0.7,0
"bradlja02",17.4,1
"bradlmi01",16.9,1
"bradlsc01",-1.5,0
"braggda01",9,0
"brancra01",-1.7,3
"branded01",4.1,0
"brandja01",13.1,2
"bransje01",-0.1,0
"branski01",10.2,0
"brantje01",-0.3,1
"brantmi02",34.1,5
"branyru01",11.2,0
"braunry02",47.1,6
"braunst01",17.4,0
"braxtga01",-0.8,0
"brazlal01",-1.3,0
"breamsi01",11.1,0
"brechha01",0.9,2
"breitte01",-1.3,0
"brenlbo01",12.7,1
"breslcr01",0,0
"bresnro01",42,0
"bressed01",17.1,1
"bressru01",19.2,0
"brettge01",88.6,13
"brettke01",3.7,1
"breweji01",0.2,1
"bridgro01",2.9,1
"bridgto01",-1.2,6
"bridwal01",19.1,0
"briggjo02",24,0
"brignre01",-1.2,0
"brilene01",0.5,0
"brinked01",13.2,1
"brittza01",0.4,2
"brocado01",0.2,0
"brockgr01",10,0
"brocklo01",45.3,6
"brodist01",19.4,0
"brognri01",-1.1,0
"brohaja01",5.6,0
"brookhu01",13,2
"brookto01",11.5,0
"brosisc01",15.7,1
"brosnji01",-0.3,0
"broutda01",79.8,0
"broweji01",0.3,0
"brownbu01",0.2,0
"browncl01",0.8,0
"brownem01",0.9,0
"brownga01",9.7,0
"brownge01",7.1,0
"brownha01",0.7,0
"brownje01",11.9,0
"brownju01",-0.1,0
"brownke01",-0.4,6
"brownla01",6.9,0
"brownle01",5.9,0
"brownll01",0.4,0
"brownma01",-1.6,1
"brownmo01",1.1,0
"brownol02",10.3,0
"brownpe01",40.6,0
"brownto01",16.5,0
"brownto02",-2.2,0
"brownto05",0.2,1
"broxtjo01",0.1,2
"brubabi01",3,0
"bruceja01",19.9,3
"brunato01",22,1
"brunege01",-2,0
"brusswa01",-0.1,0
"brutobi01",26.3,0
"buchhcl01",-0.2,2
"buckjo01",5.8,1
"bucknbi01",15.1,1
"buechst01",16.5,0
"buehrma01",-1,5
"buelofr01",-1.1,0
"buffich01",0,0
"buforda01",2.5,0
"bufordo01",36.1,1
"buhlbo01",-6.1,2
"buhneja01",23,1
"bumbral01",24.5,1
"bumgama01",4.9,4
"bunniji01",-0.9,9
"burbada01",0.2,0
"burdele01",3.1,3
"burdoja01",15,0
"burgesm01",33.4,9
"burgmto01",0.4,1
"burkebo01",-0.4,0
"burkeed01",8.2,0
"burkeje01",62.8,0
"burkejo03",-2.7,2
"burketi01",-0.3,1
"burksel01",49.8,2
"burleri01",22.9,4
"burneaj01",NA,NA
"burnese01",0,0
"burnije01",19.9,1
"burnsge01",39.7,0
"burnsge02",35.1,0
"burnsoy01",26.1,0
"burnsto01",22.4,0
"burrepa01",18.9,0
"burrira01",0.8,0
"burroje01",17.7,2
"busbyji01",12.7,1
"bushdo01",39.3,0
"bushgu01",-2.9,0
"bushjo01",5.7,0
"bushodo01",3.6,0
"bushra01",1.4,0
"butchma01",-0.6,0
"buterdr01",-4.1,0
"butersa01",-1.3,0
"butlebi03",11.9,1
"butlebr01",49.7,1
"buzhajo01",-0.6,0
"byerlbu01",-0.4,0
"byrdati01",0,0
"byrdma01",25.8,1
"byrdpa01",0.2,1
"byrnebo01",13.9,0
"byrneer01",10.5,0
"byrneto01",4.7,1
"cabelen01",11.3,0
"cabreas01",29.6,2
"cabreme01",20.6,1
"cabremi01",67.7,12
"cabreor01",21.3,0
"cadargr01",0,0
"cadorle01",0.5,0
"cahiltr01",-0.5,1
"cainlo01",38.4,2
"cainma01",-0.2,3
"cairomi01",7.6,0
"caldeiv01",12,1
"caldwmi01",-0.5,0
"caldwra02",5.4,0
"calhoko01",14.1,0
"callaal01",9.6,0
"callani01",9.2,0
"callijo01",38.4,4
"camacer01",0,0
"camermi01",46.7,1
"camildo01",43.3,2
"caminke01",33.4,3
"camniho01",-3.6,0
"campabe01",53.1,6
"camparo01",41.8,11
"campbbi02",0,1
"campbbr01",17.1,0
"campbda01",-0.9,0
"campsh01",0.1,0
"candaca01",4,0
"candejo01",2,1
"candito01",-1.2,0
"cangejo01",6,0
"cannich01",6.3,1
"canoro01",68.1,8
"cansejo01",42.5,6
"cantujo01",-0.1,0
"cantwbe01",1.1,0
"capuach01",-0.8,1
"carbobe01",18.6,0
"cardejo02",20.7,0
"cardele01",27.2,5
"cardwdo01",-0.2,0
"carewro01",81.2,18
"careyan01",9.7,0
"careyma01",55.3,0
"carlsha01",0.8,0
"carltst01",6.1,10
"carmado01",-2.3,0
"carmofa01",-0.7,1
"carpech01",-1.1,3
"carpehi01",4.6,0
"carpema01",29.2,3
"carraca01",0.1,0
"carrach01",21.3,4
"carragi01",-0.1,0
"carrahe01",-0.4,0
"carrema01",4.6,0
"carribi02",13.2,0
"carrocl01",8.6,0
"carrocl02",-0.7,2
"carroja01",17,0
"carroow01",0.6,0
"carseki01",-1.3,0
"cartega01",70.2,11
"cartejo01",19.5,5
"cartyri01",32.7,1
"carutbo01",14.8,0
"casalcu01",6.5,0
"casanpa01",1.3,1
"casanra01",-0.9,0
"casege01",18.1,4
"caseydo01",12.4,0
"caseyhu01",-0.1,0
"caseyse01",16.5,3
"cashda01",25.6,3
"cashnan01",0.8,0
"cashno01",52,5
"casiala01",0,0
"cassijo01",-1.2,0
"castege01",-0.9,0
"casteni01",12.2,1
"castial01",1.7,0
"castica01",-1.2,0
"castifr01",-1.9,0
"castilu01",29.1,3
"castito02",0,0
"castivi02",19.3,2
"castiwe01",12.3,0
"castrbi01",NA,NA
"castrja01",12.4,1
"castrju01",-5.4,0
"castrmi01",0,0
"castrra01",3,0
"castrst01",18.2,4
"catalfr01",14.5,0
"caterda01",10.5,0
"causewa01",8.5,0
"cavarph01",37,4
"cecilbr01",-0.1,1
"cedence01",52.9,4
"cedenro01",1.7,0
"cedenro02",-1.6,0
"cedenxa01",0,0
"cepedor01",50.1,11
"ceronri01",8,0
"cervbo01",11.2,1
"cervefr01",13.9,0
"cespeyo01",21.6,2
"ceyro01",53.8,6
"chacijh01",0.9,0
"chacosh01",-0.3,1
"chafian01",0,0
"chakabo01",0.6,0
"chalkda01",8.5,2
"chambch01",27.5,1
"chambel01",0.3,0
"chambjo03",0,0
"chancde01",-5.1,2
"chancfr01",46,0
"chandsp01",1.5,4
"chaneda01",-3.3,0
"chapmar01",0,7
"chapmbe01",42.2,4
"chapmsa01",17.2,1
"charlno01",-0.5,1
"chaseha01",22.9,0
"chatwty01",0.8,0
"chaveen01",5,0
"chaveer01",38.3,0
"chaveje01",-0.2,0
"chavera01",0,0
"chenbr01",-0.3,0
"chenela01",0.7,0
"chesbja01",0.2,0
"childcu01",44.4,0
"chipmbo01",-1.2,0
"chiriro01",12.7,0
"chitiha01",-0.6,0
"choatra01",0,0
"choosh01",34.6,1
"chrisja01",-0.1,0
"chrisla01",1.5,0
"chrisma01",-2.4,0
"cicoted01",1.1,0
"cimolgi01",1.3,1
"cirilje01",34.5,2
"cishest01",0,0
"cissebi01",2.7,0
"clancji01",-0.3,1
"clappjo01",19.1,0
"clarkbo02",5.4,0
"clarkbr02",4.7,0
"clarkda05",0.3,0
"clarkfr01",67.9,0
"clarkho01",15.6,0
"clarkja01",53.1,4
"clarkjo01",-1.8,0
"clarkma01",-1.9,0
"clarkni01",9.2,0
"clarkto01",10.5,0
"clarkto02",12.3,1
"clarkwa02",-0.1,0
"clarkwi02",56.5,6
"claytro01",19.5,1
"clearma01",NA,NA
"clemedo01",0.2,0
"clemeja01",26.8,0
"clemepa01",-0.2,0
"clemero01",94.8,15
"clemero02",0.6,11
"clenddo01",20,0
"clevere01",0.5,0
"cliftha01",42.1,1
"clinege01",4.6,0
"clinety01",5.8,0
"clingbi01",8.2,0
"clintji01",-0.1,0
"clintlo01",4,0
"clippty01",0.1,2
"clonito01",2.9,0
"coaklan01",-2.7,0
"coangi01",2.1,0
"coateji01",-0.2,2
"cobbal01",-0.1,0
"cobbty01",151.4,0
"cochrmi01",49.9,2
"coffmdi01",-2.7,0
"coghlch01",1.1,0
"cokeph01",-0.1,0
"colavro01",44.5,9
"colbena01",14.4,3
"colboji01",-0.4,1
"colbrgr01",6.9,0
"colege01",0.6,5
"colemjo01",3.3,0
"colemjo04",0.3,1
"colemjo05",-1.5,1
"colemvi01",12.5,2
"colesda01",-1.5,0
"collida02",15.8,0
"collied01",124.4,0
"colliji01",53.3,0
"collijo01",12,0
"collipa01",5.7,0
"colliri01",-2.5,0
"collish01",11.2,0
"colluja01",0.7,0
"colomal01",0,1
"colomje01",0,0
"colonba01",-1.9,4
"combsea01",44.7,0
"comisch01",7.7,0
"comorad01",4.8,0
"conceda01",40.1,9
"coneda01",0.7,5
"coninje01",19.5,2
"conlege01",1.3,4
"connasa01",0.5,0
"connoro01",84.3,0
"conrowi01",21.8,0
"consobi01",-0.1,0
"consusa01",-0.4,1
"contrjo01",-0.3,1
"cookaa01",-0.1,1
"cookde01",1.1,0
"cooledu01",15,0
"coombja01",3.6,0
"coonejo01",8.5,0
"coopece01",36,5
"coopemo01",0.7,4
"coopewa01",27.3,8
"coopewi01",4.7,0
"coraal01",7,0
"corajo01",7.9,1
"corbipa01",0.9,2
"corcola01",-2.1,0
"corcoto01",20.2,0
"cordefr01",-0.1,3
"cordewi01",6,1
"corkhpo01",5.1,0
"cormirh01",0.9,0
"corrapa01",0.2,0
"correke01",-0.7,1
"corsiji01",0,0
"cottich01",-0.3,0
"cottohe01",4.1,0
"cottsne01",0.1,0
"coughbi01",8.5,0
"counscr01",22.4,0
"courtcl01",7.1,0
"covelst01",-5.1,0
"covinwe01",9.1,0
"cowanbi01",1.1,0
"cowenal01",15.2,0
"coxbi02",10.1,0
"coxda01",-1.3,0
"craigro01",-3.3,0
"crainje01",0,1
"cramedo01",13.4,5
"crandde01",28.1,11
"cranddo01",8,0
"craneed01",0.9,0
"cranesa01",-4.7,0
"cravaga01",33,0
"crawfbr01",30.8,3
"crawfca02",39.1,4
"crawfsa01",75.3,0
"crawfst01",NA,NA
"crawfwi01",21.3,0
"credejo01",14.7,1
"creekdo01",0,0
"crigelo01",16.1,0
"crispco01",28.9,0
"critzhu01",16.5,0
"cromawa01",16.3,0
"cronijo01",64.7,7
"crosefr01",24.5,2
"crossla01",46.5,0
"crossmo01",16.7,0
"crowdal01",-1.1,1
"crowlte01",2.4,0
"cruiswa01",8.5,0
"cruzde01",7.4,0
"cruzhe01",-3.6,0
"cruzja01",0.4,0
"cruzjo01",54.4,2
"cruzjo02",19.6,0
"cruzju01",16.9,0
"cruzju02",-0.3,0
"cruzne02",42.5,7
"cuccito01",33.9,3
"cuddymi01",17.8,2
"cuellmi01",-2.3,4
"cuetojo01",-2.1,2
"culbech01",-0.4,0
"cullero01",32.5,2
"culpra01",-2.2,2
"culvege01",-0.6,0
"cummimi01",0.9,0
"cunnibe01",0,0
"cunnijo01",22.3,2
"cuppyni01",0.2,0
"curtich01",14,0
"curtijo01",0.8,0
"custja01",9.4,0
"cuthbne01",1.4,0
"cutshge01",16.2,0
"cuyleki01",47.9,1
"daalom01",1.2,0
"dacqujo01",NA,NA
"dahlebi01",75.2,0
"dahlgba01",2.7,1
"dailyco01",4.1,0
"dailyed01",-2.3,0
"dalcabr01",-0.5,0
"daleybu01",0.7,4
"dalryab01",18.5,0
"dalrycl01",16.7,0
"dalyto01",26.6,0
"damonjo01",56.3,2
"danfoda01",-0.7,0
"danksjo01",-0.2,0
"danniha01",14.6,4
"darenvi01",-0.1,0
"darkal01",43.9,3
