"player","war","all_stars","type","yearID","votedBy","ballots","needed","votes","inducted","category","needed_note"
"guerrvl01",59.5,9,"position",2018,"BBWAA",422,317,392,"Y","Player",NA
"gwynnto01",69.2,15,"position",2007,"BBWAA",545,409,532,"Y","Player",NA
"hafeych01",31.2,1,"position",1971,"Veterans",NA,NA,NA,"Y","Player",NA
"haineje01",-3.1,0,"position",1970,"Veterans",NA,NA,NA,"Y","Player",NA
"hallaro01",-1.1,8,"position",2019,"BBWAA",425,319,363,"Y","Player",NA
"hamilbi01",63.2,0,"position",1961,"Veterans",NA,NA,NA,"Y","Player",NA
"hanlone01",18.1,0,"position",1996,"Veterans",NA,NA,NA,"Y","Manager",NA
"harribu01",16,0,"position",1975,"Veterans",NA,NA,NA,"Y","Manager",NA
"hartnga01",55.9,6,"position",1955,"BBWAA",251,189,195,"Y","Player",NA
"heilmha01",72.5,0,"position",1952,"BBWAA",234,176,203,"Y","Player",NA
"henderi01",111.1,10,"position",2009,"BBWAA",539,405,511,"Y","Player",NA
"hermabi01",57.3,10,"position",1975,"Veterans",NA,NA,NA,"Y","Player",NA
"hodgegi01",43.9,8,"position",2022,"Veterans",NA,NA,NA,"Y","Player",NA
"hoffmtr01",-0.2,7,"position",2018,"BBWAA",422,317,337,"Y","Player",NA
"hoopeha01",53.5,0,"position",1971,"Veterans",NA,NA,NA,"Y","Player",NA
"hornsro01",127.3,0,"position",1942,"BBWAA",233,175,182,"Y","Player",NA
"hoytwa01",-1.8,0,"position",1969,"Veterans",NA,NA,NA,"Y","Player",NA
"hubbeca01",-0.4,9,"position",1947,"BBWAA",161,121,140,"Y","Player",NA
"huggimi01",35.4,0,"position",1964,"Veterans",NA,NA,NA,"Y","Manager",NA
"hunteca01",4.6,8,"position",1987,"BBWAA",413,310,315,"Y","Player",NA
"jacksre01",74,14,"position",1993,"BBWAA",423,318,396,"Y","Player",NA
"jackstr01",44,1,"position",1982,"Veterans",NA,NA,NA,"Y","Player",NA
"jenkife01",2,3,"position",1991,"BBWAA",443,333,334,"Y","Player",NA
"jennihu01",42.3,0,"position",1945,"Old Timers",NA,NA,NA,"Y","Player",NA
"jeterde01",71.3,14,"position",2020,"BBWAA",397,298,396,"Y","Player",NA
"johnsra05",-2.5,10,"position",2015,"BBWAA",549,412,534,"Y","Player",NA
"johnswa01",12.7,0,"position",1936,"BBWAA",226,170,189,"Y","Player",NA
"jonesch06",85.3,8,"position",2018,"BBWAA",422,317,410,"Y","Player",NA
"kaatji01",5.3,3,"position",2022,"Veterans",NA,NA,NA,"Y","Player",NA
"kalinal01",92.9,18,"position",1980,"BBWAA",385,289,340,"Y","Player",NA
"keefeti01",-2.3,0,"position",1964,"Veterans",NA,NA,NA,"Y","Player",NA
"keelewi01",54.2,0,"position",1939,"BBWAA",274,206,207,"Y","Player",NA
"kellejo01",50.4,0,"position",1971,"Veterans",NA,NA,NA,"Y","Player",NA
"kellge01",37.6,10,"position",1983,"Veterans",NA,NA,NA,"Y","Player",NA
"kellyge01",25.6,0,"position",1973,"Veterans",NA,NA,NA,"Y","Player",NA
"kellyki01",47,0,"position",1945,"Old Timers",NA,NA,NA,"Y","Player",NA
"killeha01",60.3,13,"position",1984,"BBWAA",403,303,335,"Y","Player",NA
"kinerra01",48.1,6,"position",1975,"BBWAA",362,272,273,"Y","Player",NA
"kleinch01",46.5,2,"position",1980,"Veterans",NA,NA,NA,"Y","Player",NA
"koufasa01",-4.2,7,"position",1972,"BBWAA",396,297,344,"Y","Player",NA
"lajoina01",106.9,0,"position",1937,"BBWAA",201,151,168,"Y","Player",NA
"larkiba01",70.5,12,"position",2012,"BBWAA",573,430,495,"Y","Player",NA
"lazzeto01",47.6,1,"position",1991,"Veterans",NA,NA,NA,"Y","Player",NA
"lemonbo01",10.7,7,"position",1976,"BBWAA",388,291,305,"Y","Player",NA
"lindsfr01",28.3,0,"position",1976,"Veterans",NA,NA,NA,"Y","Player",NA
"lombaer01",37.8,8,"position",1986,"Veterans",NA,NA,NA,"Y","Player",NA
"lopezal01",16.3,2,"position",1977,"Veterans",NA,NA,NA,"Y","Manager",NA
"lyonste01",3.8,1,"position",1955,"BBWAA",251,189,217,"Y","Player",NA
"mackco01",6.9,0,"position",1937,"Centennial",NA,NA,NA,"Y","Manager",NA
"maddugr01",1.8,8,"position",2014,"BBWAA",571,429,555,"Y","Player",NA
"mantlmi01",110.2,20,"position",1974,"BBWAA",365,274,322,"Y","Player",NA
"manushe01",48,1,"position",1964,"Veterans",NA,NA,NA,"Y","Player",NA
"maranra01",43.9,0,"position",1954,"BBWAA",252,189,209,"Y","Player",NA
"maricju01",1.1,10,"position",1983,"BBWAA",374,281,313,"Y","Player",NA
"marquru01",-2.3,0,"position",1971,"Veterans",NA,NA,NA,"Y","Player",NA
"martied01",68.4,7,"position",2019,"BBWAA",425,319,363,"Y","Player",NA
"martipe02",-2.2,8,"position",2015,"BBWAA",549,412,500,"Y","Player",NA
"mathech01",6.2,0,"position",1936,"BBWAA",226,170,205,"Y","Player",NA
"matheed01",96.1,12,"position",1978,"BBWAA",379,285,301,"Y","Player",NA
"mayswi01",156.1,24,"position",1979,"BBWAA",432,324,409,"Y","Player",NA
"mazerbi01",36.5,10,"position",2001,"Veterans",NA,NA,NA,"Y","Player",NA
"mccarto01",16.2,0,"position",1946,"Old Timers",NA,NA,NA,"Y","Player",NA
"mccovwi01",64.5,6,"position",1986,"BBWAA",425,319,346,"Y","Player",NA
"mcginjo01",-2.9,0,"position",1946,"Old Timers",NA,NA,NA,"Y","Player",NA
"mcgrajo01",45.7,0,"position",1937,"Veterans",NA,NA,NA,"Y","Manager",NA
"mckecbi01",3.4,0,"position",1962,"Veterans",NA,NA,NA,"Y","Manager",NA
"mcphebi01",52.5,0,"position",2000,"Veterans",NA,NA,NA,"Y","Player",NA
"medwijo01",54.5,10,"position",1968,"BBWAA",283,213,240,"Y","Player",NA
"minosmi01",53.8,13,"position",2022,"Veterans",NA,NA,NA,"Y","Player",NA
"mizejo01",70.7,10,"position",1981,"Veterans",NA,NA,NA,"Y","Player",NA
"molitpa01",75.6,7,"position",2004,"BBWAA",506,380,431,"Y","Player",NA
"morgajo02",100.4,10,"position",1990,"BBWAA",444,333,363,"Y","Player",NA
"morrija02",-0.1,5,"position",2018,"Veterans",NA,NA,NA,"Y","Player",NA
"murraed02",68.7,8,"position",2003,"BBWAA",496,372,423,"Y","Player",NA
"musiast01",128.6,24,"position",1969,"BBWAA",340,255,317,"Y","Player",NA
"mussimi01",0,5,"position",2019,"BBWAA",425,319,326,"Y","Player",NA
"newhoha01",2.7,7,"position",1992,"Veterans",NA,NA,NA,"Y","Player",NA
"nichoki01",-0.4,0,"position",1949,"Old Timers",NA,NA,NA,"Y","Player",NA
"niekrph01",-1.1,5,"position",1997,"BBWAA",473,353,380,"Y","Player",NA
"olivato01",43,8,"position",2022,"Veterans",NA,NA,NA,"Y","Player",NA
"orourji01",NA,NA,"position",1945,"Old Timers",NA,NA,NA,"Y","Player",NA
"ortizda01",55.3,10,"position",2022,"BBWAA",394,296,307,"Y","Player",NA
"ottme01",110.8,12,"position",1951,"BBWAA",226,170,197,"Y","Player",NA
"palmeji01",0.9,6,"position",1990,"BBWAA",444,333,411,"Y","Player",NA
"pennohe01",0.8,0,"position",1948,"BBWAA",121,91,94,"Y","Player",NA
"perezto01",54,7,"position",2000,"BBWAA",499,375,385,"Y","Player",NA
"perryga01",-3,5,"position",1991,"BBWAA",443,333,342,"Y","Player",NA
"piazzmi01",59.5,12,"position",2016,"BBWAA",440,330,365,"Y","Player",NA
"planked01",3.3,0,"position",1946,"Old Timers",NA,NA,NA,"Y","Player",NA
"puckeki01",51.2,10,"position",2001,"BBWAA",515,387,423,"Y","Player",NA
"radboch01",2.2,0,"position",1939,"Old Timers",NA,NA,NA,"Y","Player",NA
"raineti01",69.4,7,"position",2017,"BBWAA",442,332,380,"Y","Player",NA
"reesepe01",68.4,10,"position",1984,"Veterans",NA,NA,NA,"Y","Player",NA
"riceji01",47.7,8,"position",2009,"BBWAA",539,405,412,"Y","Player",NA
"ricesa01",54.4,0,"position",1963,"Veterans",NA,NA,NA,"Y","Player",NA
"ripkeca01",95.9,19,"position",2007,"BBWAA",545,409,537,"Y","Player",NA
"riverma01",0,13,"position",2019,"BBWAA",425,319,425,"Y","Player",NA
"rixeyep01",-1.5,0,"position",1963,"Veterans",NA,NA,NA,"Y","Player",NA
"rizzuph01",42.2,5,"position",1994,"Veterans",NA,NA,NA,"Y","Player",NA
"roberro01",3.1,7,"position",1976,"BBWAA",388,291,337,"Y","Player",NA
"robinbr01",78.5,18,"position",1983,"BBWAA",374,281,344,"Y","Player",NA
"robinfr02",107.2,14,"position",1982,"BBWAA",415,312,370,"Y","Player",NA
"robinja02",63.8,7,"position",1962,"BBWAA",160,120,124,"Y","Player",NA
"robinwi01",6.7,0,"position",1945,"Old Timers",NA,NA,NA,"Y","Manager",NA
"rodriiv01",68.7,14,"position",2017,"BBWAA",442,332,336,"Y","Player",NA
"roushed01",45.6,0,"position",1962,"Veterans",NA,NA,NA,"Y","Player",NA
"ruffire01",13.3,6,"position",1967,"Run Off",306,NA,266,"Y","Player","1st"
"rusieam01",0.6,0,"position",1977,"Veterans",NA,NA,NA,"Y","Player",NA
"ruthba01",162.7,2,"position",1936,"BBWAA",226,170,215,"Y","Player",NA
"ryanno01",-2.3,8,"position",1999,"BBWAA",497,373,491,"Y","Player",NA
"sandbry01",68,10,"position",2005,"BBWAA",516,387,393,"Y","Player",NA
"santoro01",70.5,9,"position",2012,"Veterans",NA,NA,NA,"Y","Player",NA
"schalra01",33.2,0,"position",1955,"Veterans",NA,NA,NA,"Y","Player",NA
"schmimi01",106.8,12,"position",1995,"BBWAA",460,345,444,"Y","Player",NA
"schoere01",44.5,10,"position",1989,"Veterans",NA,NA,NA,"Y","Player",NA
"seaveto01",3.9,12,"position",1992,"BBWAA",430,323,425,"Y","Player",NA
"seweljo01",54.7,0,"position",1977,"Veterans",NA,NA,NA,"Y","Player",NA
"simmoal01",68.2,3,"position",1953,"BBWAA",264,198,199,"Y","Player",NA
"simmote01",50.3,8,"position",2020,"Veterans",NA,NA,NA,"Y","Player",NA
"sislege01",54.8,0,"position",1939,"BBWAA",274,206,235,"Y","Player",NA
"slaugen01",57.8,10,"position",1985,"Veterans",NA,NA,NA,"Y","Player",NA
"smithle02",-0.5,7,"position",2019,"Veterans",NA,NA,NA,"Y","Player",NA
"smithoz01",76.9,15,"position",2002,"BBWAA",472,354,433,"Y","Player",NA
"smoltjo01",2.6,8,"position",2015,"BBWAA",549,412,455,"Y","Player",NA
"snidedu01",65.9,8,"position",1980,"BBWAA",385,289,333,"Y","Player",NA
"southbi01",21.7,0,"position",2008,"Veterans",NA,NA,NA,"Y","Manager",NA
"spahnwa01",7.6,17,"position",1973,"BBWAA",380,285,316,"Y","Player",NA
"speaktr01",134.8,0,"position",1937,"BBWAA",201,151,165,"Y","Player",NA
"stargwi01",57.5,7,"position",1988,"BBWAA",427,321,352,"Y","Player",NA
"stengca01",20.2,0,"position",1966,"Veterans",NA,NA,NA,"Y","Manager",NA
"suttebr01",-0.4,6,"position",2006,"BBWAA",520,390,400,"Y","Player",NA
"suttodo01",-1.6,4,"position",1998,"BBWAA",473,355,386,"Y","Player",NA
"terrybi01",56.5,3,"position",1954,"BBWAA",252,189,195,"Y","Player",NA
"thomafr04",73.8,5,"position",2014,"BBWAA",571,429,478,"Y","Player",NA
"thomeji01",73.1,5,"position",2018,"BBWAA",422,317,379,"Y","Player",NA
"thompsa01",44.4,0,"position",1974,"Veterans",NA,NA,NA,"Y","Player",NA
"tinkejo01",53.2,0,"position",1946,"Old Timers",NA,NA,NA,"Y","Player",NA
"torrejo01",57.5,9,"position",2014,"Veterans",NA,NA,NA,"Y","Manager",NA
"trammal01",70.7,6,"position",2018,"Veterans",NA,NA,NA,"Y","Player",NA
"traynpi01",38.5,2,"position",1948,"BBWAA",121,91,93,"Y","Player",NA
"vanceda01",-2.7,0,"position",1955,"BBWAA",251,189,205,"Y","Player",NA
"vaughar01",78,9,"position",1985,"Veterans",NA,NA,NA,"Y","Player",NA
"wadderu01",-2.5,0,"position",1946,"Old Timers",NA,NA,NA,"Y","Player",NA
"wagneho01",130.8,0,"position",1936,"BBWAA",226,170,215,"Y","Player",NA
"walkela01",72.7,5,"position",2020,"BBWAA",397,298,304,"Y","Player",NA
"wallabo01",70.3,0,"position",1953,"Veterans",NA,NA,NA,"Y","Player",NA
"walshed01",2.1,0,"position",1946,"Old Timers",NA,NA,NA,"Y","Player",NA
"wanerll01",29.6,1,"position",1967,"Veterans",NA,NA,NA,"Y","Player",NA
"wanerpa01",74.7,4,"position",1952,"BBWAA",234,176,195,"Y","Player",NA
"wardjo01",34.3,0,"position",1964,"Veterans",NA,NA,NA,"Y","Player",NA
"welchmi01",-0.8,0,"position",1973,"Veterans",NA,NA,NA,"Y","Player",NA
"wheatza01",60.5,0,"position",1959,"Veterans",NA,NA,NA,"Y","Player",NA
"whitede01",45.7,0,"position",2013,"Veterans",NA,NA,NA,"Y","Player",NA
"wilheho01",-2.9,8,"position",1985,"BBWAA",395,297,331,"Y","Player",NA
"willibi01",63.6,6,"position",1987,"BBWAA",413,310,354,"Y","Player",NA
"willidi02",3.4,0,"position",2008,"Veterans",NA,NA,NA,"Y","Manager",NA
"willite01",122,19,"position",1966,"BBWAA",302,227,282,"Y","Player",NA
"willivi01",-3.8,0,"position",1995,"Veterans",NA,NA,NA,"Y","Player",NA
"wilsoha01",38.7,0,"position",1979,"Veterans",NA,NA,NA,"Y","Player",NA
"winfida01",64.2,12,"position",2001,"BBWAA",515,387,435,"Y","Player",NA
"wrighge01",23.2,0,"position",1937,"Centennial",NA,NA,NA,"Y","Pioneer/Executive",NA
"wynnea01",9.5,9,"position",1972,"BBWAA",396,297,301,"Y","Player",NA
"yastrca01",96.5,18,"position",1989,"BBWAA",447,336,423,"Y","Player",NA
"youngcy01",-2,0,"position",1937,"BBWAA",201,151,153,"Y","Player",NA
"youngro01",32.7,0,"position",1972,"Veterans",NA,NA,NA,"Y","Player",NA
"yountro01",77.4,3,"position",1999,"BBWAA",497,373,385,"Y","Player",NA
