"","Player","birthCountry","playerID","MedianIP","weight","height","throws","Censored","PrimaryPitch","numDaysUntilTJ","Fast_Off"
"1","Aaron Ashby","USA","ashbyaa01",69.5,181,74,"L","Non-Censored","Slider",NA,"Offspeed"
"2","Aaron Brooks","USA","brookaa01",9.3,230,76,"R","Censored","Sinker",NA,"Fastball"
"3","Aaron Civale","USA","civalaa01",85.5,215,74,"R","Non-Censored","Cutter",NA,"Fastball"
"4","Aaron Loup","USA","loupaa01",39,210,71,"L","Non-Censored","Sinker",NA,"Fastball"
"5","Aaron Nola","USA","nolaaa01",174.35,200,74,"R","Non-Censored","4seamFastball",NA,"Fastball"
"6","Aaron Sanchez","USA","sanchaa01",35.65,212,76,"R","Non-Censored","Sinker",NA,"Fastball"
"7","Aaron Slegers","USA","slegeaa01",15.3,260,82,"R","Censored","Sinker",NA,"Fastball"
"8","Adam Cimber","USA","cimbead01",37.3,195,75,"R","Non-Censored","Sinker",NA,"Fastball"
"9","Adam Conley","USA","conlead01",63.85,209,75,"L","Censored","4seamFastball",NA,"Fastball"
"10","Adam Kolarek","USA","kolarad01",17.7,215,75,"L","Censored","Sinker",NA,"Fastball"
"11","Adam Morgan","USA","morgaad01",49.3,200,73,"L","Censored","Slider",NA,"Offspeed"
"12","Adam Oller","USA","ollerad01",74.3,225,76,"R","Non-Censored","4seamFastball",NA,"Fastball"
"13","Adam Ottavino","USA","ottavad01",63.5,246,77,"R","Non-Censored","Slider",1804,"Offspeed"
"14","Adam Plutko","USA","plutkad01",56.3,215,75,"R","Censored","4seamFastball",NA,"Fastball"
"15","Adam Wainwright","USA","wainwad01",191.7,230,79,"R","Non-Censored","Curveball",1996,"Offspeed"
"16","Adam Warren","USA","warread01",32.65,224,73,"R","Non-Censored","Slider",2620,"Offspeed"
"17","Adam Wilk","USA","wilkad01",10.3,180,74,"L","Censored","4seamFastball",NA,"Fastball"
"18","Adbert Alzolay","Venezuela","alzolad01",17.3,208,73,"R","Non-Censored","4seamFastball",NA,"Fastball"
"19","Addison Reed","USA","reedad01",52,230,76,"R","Censored","4seamFastball",NA,"Fastball"
"20","Adonis Medina","D.R.","medinad01",7.7,187,73,"R","Non-Censored","Sinker",NA,"Fastball"
"21","Adrian Houser","USA","housead01",79.35,222,75,"R","Non-Censored","Sinker",299,"Fastball"
"22","Adrian Morejon","Cuba","morejad01",13.65,224,71,"L","Non-Censored","4seamFastball",639,"Fastball"
"23","AJ Ramos","USA","ramosaj01",29.7,200,70,"R","Censored","Slider",NA,"Offspeed"
"24","Akeel Morris","V.I.","morriak01",7.3,205,73,"R","Censored","4seamFastball",NA,"Fastball"
"25","Alan Busenitz","USA","busenal01",28.5,180,73,"R","Censored","4seamFastball",NA,"Fastball"
"26","Albert Abreu","D.R.","abreual01",8.7,190,74,"R","Non-Censored","Sinker",NA,"Fastball"
"27","Alek Manoah","USA","manoaal01",154.2,285,78,"R","Non-Censored","4seamFastball",NA,"Fastball"
"28","Alex Claudio","P.R.","claudal01",32.7,187,75,"L","Non-Censored","Sinker",NA,"Fastball"
"29","Alex Cobb","USA","cobbal01",136.3,205,75,"R","Non-Censored","Sinker",1474,"Fastball"
"30","Alex Lange","USA","langeal01",49.5,202,75,"R","Non-Censored","Curveball",NA,"Offspeed"
"31","Alex McRae","USA","mcraeal01",4.65,220,74,"R","Censored","Sinker",NA,"Fastball"
"32","Alex Meyer","USA","meyeral01",12.7,225,81,"R","Censored","Curveball",NA,"Offspeed"
"33","Alex Reyes","USA","reyesal02",19.7,220,76,"R","Non-Censored","4seamFastball",191,"Fastball"
"34","Alex Vesia","USA","vesiaal01",40,209,73,"L","Non-Censored","4seamFastball",NA,"Fastball"
"35","Alex Wells","Australia","wellsal01",23.2,195,73,"L","Censored","4seamFastball",NA,"Fastball"
"36","Alex Young","USA","youngal01",34,220,75,"L","Non-Censored","Curveball",NA,"Offspeed"
"37","Amir Garrett","USA","garream01",51.85,239,77,"L","Non-Censored","Slider",NA,"Offspeed"
"38","Andre Pallante","USA","pallaan01",108,203,72,"R","Non-Censored","4seamFastball",NA,"Fastball"
"39","Andre Scrubb","USA","scruban01",21.7,270,76,"R","Censored","Cutter",NA,"Fastball"
"40","Andrew Bellatti","USA","bellaan01",23.3,190,73,"R","Non-Censored","Slider",999,"Offspeed"
"41","Andrew Cashner","USA","cashnan01",87.8,235,78,"R","Censored","Sinker",NA,"Fastball"
"42","Andrew Heaney","USA","heanean01",69.7,200,74,"L","Non-Censored","4seamFastball",743,"Fastball"
"43","Andrew Kittredge","USA","kittran01",29.15,230,73,"R","Non-Censored","Slider",1800,"Offspeed"
"44","Andrew Miller","USA","millean01",41.3,200,79,"L","Non-Censored","Slider",3950,"Offspeed"
"45","Andrew Moore","USA","moorean02",31.85,195,72,"R","Censored","4seamFastball",NA,"Fastball"
"46","Andrew Nardi","USA","nardian01",14.7,215,75,"L","Non-Censored","4seamFastball",NA,"Fastball"
"47","Andrew Wantz","USA","wantzan01",38.8,235,76,"R","Non-Censored","4seamFastball",NA,"Fastball"
"48","Angel Perdomo","D.R.","perdoan01",9.85,265,80,"L","Censored","4seamFastball",NA,"Fastball"
"49","Anthony Banda","USA","bandaan01",7.3,220,74,"L","Non-Censored","4seamFastball",327,"Fastball"
"50","Anthony Bass","USA","bassan01",43.35,205,74,"R","Non-Censored","Slider",NA,"Offspeed"
"51","Anthony Bender","USA","bendean01",40.3,205,76,"R","Non-Censored","Sinker",482,"Fastball"
"52","Anthony DeSclafani","USA","desclan01",119.15,195,74,"R","Censored","Slider",NA,"Offspeed"
"53","Anthony Gose","USA","gosean01",13.85,200,72,"L","Non-Censored","4seamFastball",3711,"Fastball"
"54","Anthony Misiewicz","USA","misiean01",17.65,196,73,"L","Non-Censored","Cutter",NA,"Fastball"
"55","Anthony Swarzak","USA","swarzan01",35.35,215,76,"R","Censored","Slider",NA,"Offspeed"
"56","Antonio Senzatela","Venezuela","senzaan01",108.5,236,73,"R","Censored","4seamFastball",NA,"Fastball"
"57","Archie Bradley","USA","bradlar01",51,215,76,"R","Censored","4seamFastball",NA,"Fastball"
"58","Ariel Jurado","Panama","juradar01",54.7,240,74,"R","Non-Censored","Sinker",958,"Fastball"
"59","Aroldis Chapman","Cuba","chapmar01",50.8,218,76,"L","Non-Censored","4seamFastball",NA,"Fastball"
"60","Artie Lewicki","USA","lewicar01",10.3,195,75,"R","Non-Censored","4seamFastball",361,"Fastball"
"61","Asher Wojciechowski","USA","wojcias01",37,235,76,"R","Censored","4seamFastball",NA,"Fastball"
"62","Ashton Goudeau","USA","goudeas01",14.65,220,78,"R","Censored","4seamFastball",NA,"Fastball"
"63","Austin Adams","USA","adamsau01",14,205,71,"R","Censored","Slider",NA,"Offspeed"
"64","Austin Adams","USA","adamsau02",4,220,75,"R","Censored","Slider",NA,"Offspeed"
"65","Austin Bibens-Dirkx","USA","bibenau01",57.15,210,73,"R","Censored","4seamFastball",NA,"Fastball"
"66","Austin Brice","Hong Kong","briceau01",19.7,238,76,"R","Censored","Curveball",NA,"Offspeed"
"67","Austin Davis","USA","davisau01",13.2,235,76,"L","Non-Censored","4seamFastball",NA,"Fastball"
"68","Austin Gomber","USA","gombeau01",95.15,220,77,"L","Non-Censored","4seamFastball",NA,"Fastball"
"69","Austin Maddox","USA","maddoau01",17.3,220,74,"R","Censored","4seamFastball",NA,"Fastball"
"70","Austin Pruitt","USA","pruitau01",51.15,185,71,"R","Non-Censored","4seamFastball",NA,"Fastball"
"71","Austin Voth","USA","vothau01",46.7,215,74,"R","Non-Censored","4seamFastball",NA,"Fastball"
"72","Austin Warren","USA","warreau01",18.15,170,72,"R","Censored","Slider",NA,"Offspeed"
"73","Bailey Falter","USA","falteba01",58.85,175,76,"L","Non-Censored","Sinker",NA,"Fastball"
"74","Bartolo Colon","D.R.","colonba01",164.3,285,71,"R","Censored","Sinker",NA,"Fastball"
"75","Beau Brieske","USA","briesbe01",81.7,200,75,"R","Censored","4seamFastball",NA,"Fastball"
"76","Beau Burrows","USA","burrobe01",6.7,210,74,"R","Censored","4seamFastball",NA,"Fastball"
"77","Ben Bowden","USA","bowdebe01",35.7,249,76,"L","Censored","4seamFastball",NA,"Fastball"
"78","Ben Lively","USA","livelbe01",15.2,190,76,"R","Censored","4seamFastball",NA,"Fastball"
"79","Ben Meyer","USA","meyerbe02",19,203,78,"R","Censored","Sinker",NA,"Fastball"
"80","Ben Taylor","USA","taylobe03",11.65,225,75,"R","Censored","4seamFastball",NA,"Fastball"
"81","Bennett Sousa","USA","sousabe01",20.3,220,75,"L","Censored","Slider",NA,"Offspeed"
"82","Blaine Boyer","USA","boyerbl01",37.35,235,75,"R","Censored","Slider",NA,"Offspeed"
"83","Blaine Hardy","USA","hardybl01",39,218,74,"L","Non-Censored","Change-up",2104,"Offspeed"
"84","Blake Parker","USA","parkebl01",25,225,75,"R","Censored","4seamFastball",NA,"Fastball"
"85","Blake Snell","USA","snellbl01",128,225,76,"L","Non-Censored","4seamFastball",NA,"Fastball"
"86","Blake Treinen","USA","treinbl01",54.7,225,77,"R","Non-Censored","Sinker",NA,"Fastball"
"87","Blake Wood","USA","woodbl01",33.35,233,77,"R","Non-Censored","Slider",2940,"Offspeed"
"88","Blake Wood","USA","woodbl01",33.35,233,77,"R","Non-Censored","Slider",744,"Offspeed"
"89","Bobby Poyner","USA","poynebo01",17,220,72,"L","Censored","4seamFastball",NA,"Fastball"
"90","Boone Logan","USA","loganbo02",39,215,77,"L","Censored","Slider",NA,"Offspeed"
"91","Brad Boxberger","USA","boxbebr01",29.3,211,70,"R","Non-Censored","4seamFastball",NA,"Fastball"
"92","Brad Brach","USA","brachbr01",39,215,78,"R","Censored","4seamFastball",NA,"Fastball"
"93","Brad Goldberg","USA","goldbbr01",12,220,76,"R","Censored","Sinker",NA,"Fastball"
"94","Brad Hand","USA","handbr01",44.3,224,75,"L","Non-Censored","Slider",NA,"Offspeed"
"95","Brad Keller","USA","kellebr01",139.7,255,77,"R","Non-Censored","4seamFastball",NA,"Fastball"
"96","Brad Peacock","USA","peacobr01",48.35,207,73,"R","Censored","Slider",NA,"Offspeed"
"97","Brad Wieck","USA","wieckbr01",10,257,80,"L","Non-Censored","4seamFastball",1405,"Fastball"
"98","Brad Ziegler","USA","zieglbr01",55.85,220,76,"R","Censored","Sinker",NA,"Fastball"
"99","Braden Shipley","USA","shiplbr01",25,190,73,"R","Censored","4seamFastball",NA,"Fastball"
"100","Brady Lail","USA","lailbr01",2.35,200,74,"R","Censored","4seamFastball",NA,"Fastball"
"101","Brady Singer","USA","singebr01",128.3,215,77,"R","Non-Censored","Sinker",NA,"Fastball"
"102","Brandon Bielak","USA","bielabr01",32,208,74,"R","Non-Censored","4seamFastball",NA,"Fastball"
"103","Brandon Finnegan","USA","finnebr01",22.2,216,71,"L","Censored","4seamFastball",NA,"Fastball"
"104","Brandon Hughes","USA","hughebr01",57.7,225,74,"L","Non-Censored","4seamFastball",NA,"Fastball"
"105","Brandon Kintzler","USA","kintzbr01",27.85,200,70,"R","Censored","Sinker",NA,"Fastball"
"106","Brandon Maurer","USA","maurebr01",51,225,77,"R","Censored","4seamFastball",NA,"Fastball"
"107","Brandon McCarthy","USA","mccarbr01",91.5,225,80,"R","Non-Censored","Sinker",3630,"Fastball"
"108","Brandon Morrow","USA","morrobr01",58.8,207,75,"R","Censored","4seamFastball",NA,"Fastball"
"109","Brandon Woodruff","USA","woodrbr01",97.7,243,76,"R","Non-Censored","4seamFastball",NA,"Fastball"
"110","Brandon Workman","USA","workmbr01",39.7,235,77,"R","Non-Censored","Curveball",705,"Offspeed"
"111","Brayan Bello","D.R.","bellobr01",57.3,170,73,"R","Non-Censored","Sinker",NA,"Fastball"
"112","Brendan McKay","USA","mckaybr01",49,220,74,"L","Non-Censored","4seamFastball",1173,"Fastball"
"113","Brent Suter","USA","suterbr01",66.7,213,76,"L","Non-Censored","4seamFastball",711,"Fastball"
"114","Brett Anderson","USA","anderbr04",63.65,230,76,"L","Non-Censored","Sinker",825,"Fastball"
"115","Brett Cecil","USA","cecilbr01",61,200,74,"L","Censored","Curveball",NA,"Offspeed"
"116","Brett de Geus","USA","degeubr01",25,190,74,"R","Censored","Sinker",NA,"Fastball"
"117","Brett Graves","USA","gravebr01",33.3,170,73,"R","Censored","4seamFastball",NA,"Fastball"
"118","Brett Kennedy","USA","kennebr02",26.7,200,72,"R","Censored","4seamFastball",NA,"Fastball"
"119","Brett Martin","USA","martibr01",56.15,200,76,"L","Non-Censored","Sinker",NA,"Fastball"
"120","Brian Flynn","USA","flynnbr01",23.65,245,80,"L","Censored","Sinker",NA,"Fastball"
"121","Brian Johnson","USA","johnsbr02",33.65,250,75,"L","Censored","4seamFastball",NA,"Fastball"
"122","Brock Burke","USA","burkebr01",54.5,210,76,"L","Non-Censored","4seamFastball",NA,"Fastball"
"123","Brock Stewart","USA","stewabr01",21.7,220,75,"R","Non-Censored","Sinker",1767,"Fastball"
"124","Bronson Arroyo","USA","arroybr01",199.5,185,75,"R","Non-Censored","Curveball",5146,"Offspeed"
"125","Brooks Raley","USA","raleybr01",20.15,200,75,"L","Non-Censored","Cutter",NA,"Fastball"
"126","Bruce Zimmermann","USA","zimmebr02",64.3,215,73,"L","Non-Censored","4seamFastball",NA,"Fastball"
"127","Bryan Abreu","D.R.","abreubr01",22.35,225,73,"R","Non-Censored","4seamFastball",NA,"Fastball"
"128","Bryan Baker","USA","bakerbr01",35.35,245,78,"R","Non-Censored","4seamFastball",NA,"Fastball"
"129","Bryan Mitchell","USA","mitchbr01",27.35,215,74,"R","Censored","4seamFastball",NA,"Fastball"
"130","Bryan Shaw","USA","shawbr01",65.35,226,73,"R","Non-Censored","Cutter",NA,"Fastball"
"131","Bryce Elder","USA","elderbr01",54,220,74,"R","Non-Censored","Sinker",NA,"Fastball"
"132","Bryse Wilson","USA","wilsobr02",26.85,250,73,"R","Non-Censored","4seamFastball",NA,"Fastball"
"133","Buck Farmer","USA","farmebu01",40.3,232,76,"R","Non-Censored","4seamFastball",NA,"Fastball"
"134","Bud Norris","USA","norribu01",66.3,215,72,"R","Censored","Cutter",NA,"Fastball"
"135","Buddy Baumann","USA","baumabu01",6.35,198,71,"L","Censored","4seamFastball",NA,"Fastball"
"136","Buddy Boshers","USA","boshebu01",27.5,222,75,"L","Censored","Curveball",NA,"Offspeed"
"137","Burch Smith","USA","smithbu03",24.5,225,76,"R","Non-Censored","4seamFastball",696,"Fastball"
"138","Caleb Baragar","USA","baragca01",22.65,215,75,"L","Censored","4seamFastball",NA,"Fastball"
"139","Caleb Ferguson","USA","ferguca01",39.7,226,75,"L","Non-Censored","4seamFastball",839,"Fastball"
"140","Caleb Smith","USA","smithca03",70,207,72,"L","Non-Censored","4seamFastball",NA,"Fastball"
"141","Caleb Thielbar","USA","thielca01",46.85,205,72,"L","Non-Censored","4seamFastball",NA,"Fastball"
"142","Calvin Faucher","USA","fauchca01",21.3,190,73,"R","Non-Censored","Slider",NA,"Offspeed"
"143","Cam Bedrosian","USA","bedroca01",26.3,225,73,"R","Censored","4seamFastball",NA,"Fastball"
"144","Camilo Doval","D.R.","dovalca01",47.35,185,74,"R","Non-Censored","Slider",NA,"Offspeed"
"145","Carlos Carrasco","Venezuela","carraca01",124.7,219,76,"R","Non-Censored","4seamFastball",743,"Fastball"
"146","Carlos Torres","USA","torreca01",55.35,180,73,"R","Censored","4seamFastball",NA,"Fastball"
"147","Carson Fulmer","USA","fulmeca01",23.3,210,72,"R","Censored","4seamFastball",NA,"Fastball"
"148","Carson Smith","USA","smithca02",8.3,215,78,"R","Non-Censored","Sinker",631,"Fastball"
"149","Casey Kelly","USA","kellyca01",22.7,215,75,"R","Non-Censored","4seamFastball",218,"Fastball"
"150","Casey Lawrence","USA","lawreca01",20.65,170,72,"R","Non-Censored","Slider",NA,"Offspeed"
"151","Casey Mize","USA","mizeca01",28.3,212,75,"R","Non-Censored","4seamFastball",665,"Fastball"
"152","Casey Sadler","USA","sadleca02",10.15,223,75,"R","Non-Censored","Sinker",557,"Fastball"
"153","CC Sabathia","USA","sabatcc01",190.35,300,78,"L","Censored","Cutter",NA,"Fastball"
"154","Chad Bettis","USA","bettich01",63.7,201,72,"R","Censored","4seamFastball",NA,"Fastball"
"155","Chad Green","USA","greench03",69,215,75,"R","Non-Censored","4seamFastball",2207,"Fastball"
"156","Chad Kuhl","USA","kuhlch01",82.65,205,75,"R","Non-Censored","Slider",815,"Offspeed"
"157","Chad Qualls","USA","quallch01",49.3,235,76,"R","Censored","Sinker",NA,"Fastball"
"158","Chad Sobotka","USA","sobotch01",14.3,225,79,"R","Censored","4seamFastball",NA,"Fastball"
"159","Chance Adams","USA","adamsch01",8.7,215,73,"R","Non-Censored","4seamFastball",789,"Fastball"
"160","Charlie Barnes","USA","barnech01",38,190,74,"L","Censored","Sinker",NA,"Fastball"
"161","Charlie Morton","USA","mortoch02",129,215,77,"R","Non-Censored","Curveball",1461,"Offspeed"
"162","Chase Anderson","USA","anderch01",139,210,73,"R","Non-Censored","4seamFastball",NA,"Fastball"
"163","Chase De Jong","USA","dejonch01",23,230,76,"R","Non-Censored","4seamFastball",NA,"Fastball"
"164","Chase Silseth","USA","silsech01",28.7,217,72,"R","Censored","4seamFastball",NA,"Fastball"
"165","Chase Whitley","USA","whitlch01",19.3,220,76,"R","Non-Censored","4seamFastball",369,"Fastball"
"166","Chasen Shreve","USA","shrevch01",29.65,180,76,"L","Censored","4seamFastball",NA,"Fastball"
"167","Chaz Roe","USA","roech01",9.7,190,77,"R","Censored","Slider",NA,"Offspeed"
"168","Chris Archer","USA","archech01",119.7,195,74,"R","Non-Censored","Slider",NA,"Offspeed"
"169","Chris Bassitt","USA","bassich01",74.5,215,77,"R","Non-Censored","Sinker",615,"Fastball"
"170","Chris Beck","USA","beckch02",23.7,230,75,"R","Censored","4seamFastball",NA,"Fastball"
"171","Chris Devenski","USA","devench02",29,211,75,"R","Non-Censored","4seamFastball",1880,"Fastball"
"172","Chris Ellis","USA","ellisch01",4.15,205,77,"R","Censored","4seamFastball",NA,"Fastball"
"173","Chris Hatcher","USA","hatchch02",36.3,200,73,"R","Censored","4seamFastball",NA,"Fastball"
"174","Chris Martin","USA","martich02",24.7,225,80,"R","Non-Censored","4seamFastball",NA,"Fastball"
"175","Chris Mazza","USA","mazzach01",21.8,190,76,"R","Censored","Sinker",NA,"Fastball"
"176","Chris O'Grady","USA","ogradch01",20,225,76,"L","Censored","4seamFastball",NA,"Fastball"
"177","Chris Paddack","USA","paddach01",83.65,217,77,"R","Non-Censored","4seamFastball",1144,"Fastball"
"178","Chris Rodriguez","USA","rodrich01",29.7,185,74,"R","Censored","Sinker",NA,"Fastball"
"179","Chris Rowley","USA","rowlech01",9.7,195,74,"R","Censored","Sinker",NA,"Fastball"
"180","Chris Rusin","USA","rusinch01",54.7,200,74,"L","Censored","Sinker",NA,"Fastball"
"181","Chris Sale","USA","salech01",166,183,78,"L","Non-Censored","4seamFastball",3524,"Fastball"
"182","Chris Smith","USA","smithch07",24.7,190,72,"R","Non-Censored","4seamFastball",3902,"Fastball"
"183","Chris Smith","USA","smithch09",5,205,74,"R","Non-Censored","4seamFastball",609,"Fastball"
"184","Chris Stratton","USA","stratch01",40.7,205,74,"R","Non-Censored","4seamFastball",NA,"Fastball"
"185","Chris Tillman","USA","tillmch01",89.5,200,77,"R","Censored","4seamFastball",NA,"Fastball"
"186","Chris Volstad","USA","volstch01",84.3,235,80,"R","Censored","Sinker",NA,"Fastball"
"187","Chris Young","USA","youngch03",102.3,255,82,"R","Censored","Slider",NA,"Offspeed"
"188","Christian Bergman","USA","bergmch01",54,195,73,"R","Censored","Sinker",NA,"Fastball"
"189","Clay Buchholz","USA","buchhcl01",98.3,190,75,"R","Censored","Cutter",NA,"Fastball"
"190","Clayton Kershaw","USA","kershcl01",175,225,76,"L","Non-Censored","4seamFastball",NA,"Fastball"
"191","Clayton Richard","USA","richacl01",64,240,77,"L","Censored","Sinker",NA,"Fastball"
"192","Codi Heuer","USA","heuerco01",28.7,200,77,"R","Non-Censored","4seamFastball",591,"Fastball"
"193","Cody Ponce","USA","ponceco01",27.65,255,78,"R","Censored","4seamFastball",NA,"Fastball"
"194","Cody Poteet","USA","poteeco01",29.35,190,73,"R","Non-Censored","4seamFastball",462,"Fastball"
"195","Cody Reed","USA","reedco01",9.7,230,77,"L","Censored","Slider",NA,"Offspeed"
"196","Cody Stashak","USA","stashco01",16,180,74,"R","Censored","4seamFastball",NA,"Fastball"
"197","Cole Hamels","USA","hamelco01",183.3,205,76,"L","Censored","4seamFastball",NA,"Fastball"
"198","Cole Sands","USA","sandsco01",30.7,215,75,"R","Non-Censored","4seamFastball",NA,"Fastball"
"199","Colin Poche","USA","pocheco01",55.2,225,75,"L","Non-Censored","4seamFastball",417,"Fastball"
"200","Collin McHugh","USA","mchugco01",69.3,191,74,"R","Non-Censored","Slider",NA,"Offspeed"
"201","Collin Snider","USA","snideco01",34.3,195,76,"R","Non-Censored","Slider",NA,"Offspeed"
"202","Colten Brewer","USA","breweco01",17.7,222,76,"R","Censored","Cutter",NA,"Fastball"
"203","Conner Greene","USA","greenco01",3.7,195,76,"R","Censored","4seamFastball",NA,"Fastball"
"204","Conner Menez","USA","menezco01",12.65,207,74,"L","Censored","4seamFastball",NA,"Fastball"
"205","Connor Brogdon","USA","brogdco01",44,205,78,"R","Non-Censored","Change-up",NA,"Offspeed"
"206","Connor Sadzeck","USA","sadzeco01",9.3,235,79,"R","Non-Censored","Slider",397,"Offspeed"
"207","Connor Seabold","USA","seaboco01",10.65,190,74,"R","Non-Censored","4seamFastball",NA,"Fastball"
"208","Corbin Burnes","USA","burneco01",59.7,225,75,"R","Non-Censored","Cutter",NA,"Fastball"
"209","Corbin Martin","USA","martico02",19.3,225,74,"R","Non-Censored","4seamFastball",52,"Fastball"
"210","Corey Kluber","USA","klubeco01",155.65,215,76,"R","Non-Censored","Cutter",NA,"Fastball"
"211","Corey Knebel","USA","knebeco01",38.7,224,75,"R","Non-Censored","4seamFastball",1775,"Fastball"
"212","Corey Oswalt","USA","oswalco01",11.65,250,77,"R","Censored","4seamFastball",NA,"Fastball"
"213","Cory Abbott","USA","abbotco01",32.65,220,74,"R","Non-Censored","4seamFastball",NA,"Fastball"
"214","Cory Gearrin","USA","gearrco01",20.65,205,73,"R","Non-Censored","Sinker",1087,"Fastball"
"215","Craig Breslow","USA","breslcr01",34.85,190,72,"L","Censored","Sinker",NA,"Fastball"
"216","Craig Kimbrel","USA","kimbrcr01",59.65,215,71,"R","Non-Censored","4seamFastball",NA,"Fastball"
"217","Craig Stammen","USA","stammcr01",80.3,228,74,"R","Non-Censored","Sinker",NA,"Fastball"
"218","Cristian Javier","D.R.","javiecr01",101.3,213,73,"R","Non-Censored","4seamFastball",NA,"Fastball"
"219","Cy Sneed","USA","sneedcy01",19.3,213,76,"R","Censored","Cutter",NA,"Fastball"
"220","Dakota Hudson","USA","hudsoda02",39,215,77,"R","Non-Censored","Sinker",793,"Fastball"
"221","Dallas Keuchel","USA","keuchda01",145.7,205,74,"L","Non-Censored","Sinker",NA,"Fastball"
"222","Dan Altavilla","USA","altavda01",12.3,226,71,"R","Non-Censored","4seamFastball",1767,"Fastball"
"223","Dan Jennings","USA","jennida01",40.7,215,75,"L","Censored","Sinker",NA,"Fastball"
"224","Dan Straily","USA","straida01",47.7,220,74,"R","Censored","4seamFastball",NA,"Fastball"
"225","Dan Winkler","USA","winklda01",18.3,205,75,"R","Censored","Cutter",NA,"Fastball"
"226","Daniel Bard","USA","bardda01",59.8,215,76,"R","Non-Censored","Slider",NA,"Offspeed"
"227","Daniel Castano","USA","castada01",29.7,231,75,"L","Censored","4seamFastball",NA,"Fastball"
"228","Daniel Gossett","USA","gosseda01",57.8,185,72,"R","Non-Censored","4seamFastball",413,"Fastball"
"229","Daniel Hudson","USA","hudsoda01",39,215,75,"R","Non-Censored","4seamFastball",1383,"Fastball"
"230","Daniel Hudson","USA","hudsoda01",39,215,75,"R","Non-Censored","4seamFastball",1039,"Fastball"
"231","Daniel Lynch","USA","lynchda02",99.85,200,78,"L","Non-Censored","4seamFastball",NA,"Fastball"
"232","Daniel Mengden","USA","mengdda01",51.35,215,73,"R","Non-Censored","4seamFastball",NA,"Fastball"
"233","Daniel Norris","USA","norrida01",33.35,207,74,"L","Non-Censored","4seamFastball",NA,"Fastball"
"234","Daniel Ponce de Leon","USA","ponceda01",33.15,200,75,"R","Censored","4seamFastball",NA,"Fastball"
